order_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
750381,0,14,1,12,30.0
3135054,0,9,5,22,5.0
937113,0,10,6,22,6.0
811633,0,22,3,17,14.0
1486508,0,5,2,23,1.0
1540890,0,21,3,17,6.0
373209,0,24,2,9,13.0
1285609,0,38,5,13,2.0
1450350,0,41,0,17,13.0
2527879,1,10,1,9,4.0
314330,0,6,0,20,3.0
2183128,0,11,5,6,5.0
1182633,0,9,0,19,14.0
1355028,0,12,5,14,1.0
354943,0,33,4,13,0.0
2065810,0,63,4,22,0.0
2211376,0,12,3,17,0.0
2176967,0,22,1,21,7.0
1918847,0,38,5,9,5.0
320728,0,16,3,13,8.0
1515695,0,19,2,22,4.0
983957,0,2,6,11,12.0
2302377,0,12,1,10,30.0
3261724,2,17,2,11,13.0
2112627,0,2,2,18,30.0
2696458,0,9,6,8,7.0
196052,0,38,4,20,5.0
47940,0,19,6,10,7.0
1935091,0,3,1,20,7.0
666649,0,8,4,17,7.0
2287866,0,22,1,14,7.0
2641406,0,22,1,15,0.0
2052541,0,36,2,17,11.0
3310592,0,7,2,14,15.0
2463575,0,13,3,20,4.0
1612008,0,17,3,14,2.0
2815569,0,37,6,12,9.0
3396778,0,2,5,12,30.0
639742,0,1,3,21,-10.0
532002,0,5,2,14,8.0
2142446,0,8,3,13,15.0
3326203,0,20,5,12,11.0
3105596,0,25,3,11,6.0
1389473,0,34,5,14,3.0
1988742,0,2,1,20,1.0
1038928,0,5,3,13,0.0
2889091,0,20,0,10,3.0
2400863,0,22,2,8,1.0
1646162,0,29,4,8,10.0
2211692,0,38,4,12,6.0
129721,0,53,1,13,4.0
3019643,0,2,1,8,30.0
113868,0,3,5,13,11.0
1491016,0,14,2,18,14.0
460108,0,2,1,6,3.0
1062652,0,32,5,8,2.0
1493558,0,60,3,12,1.0
1080547,0,64,5,16,2.0
3306563,0,88,4,7,2.0
40433,0,11,4,15,3.0
1110497,0,14,5,19,18.0
1945256,0,3,2,8,30.0
1632347,0,8,4,12,1.0
138892,0,38,0,13,3.0
2335455,0,43,4,8,2.0
3289055,0,66,0,14,3.0
1471516,0,68,1,9,2.0
2581781,0,4,1,12,5.0
415077,0,31,6,12,9.0
634345,0,54,5,7,3.0
1544899,0,55,2,14,4.0
2877705,0,58,6,7,3.0
1868901,0,6,4,19,11.0
2940072,0,1,1,18,-10.0
1937806,0,29,3,20,1.0
151756,0,37,0,10,3.0
509791,0,40,6,12,10.0
2136952,0,43,5,21,7.0
1751465,2,64,1,20,2.0
2752813,0,6,1,22,12.0
2541589,0,3,5,18,12.0
874330,0,5,1,13,6.0
520724,0,8,3,11,10.0
1515429,0,4,0,7,6.0
337387,0,2,6,13,30.0
1795041,0,4,0,9,21.0
1805421,0,17,4,12,20.0
554769,0,11,2,10,17.0
103099,0,4,0,3,30.0
1974413,0,3,4,13,14.0
1299805,1,4,1,17,30.0
1757533,0,1,6,9,-10.0
394279,2,8,1,17,30.0
1332420,0,12,3,16,27.0
79222,0,6,4,18,29.0
2947370,0,12,2,16,8.0
1104285,0,8,6,16,7.0
2609856,0,3,1,10,6.0
578042,0,16,4,23,18.0
2849738,0,18,5,14,10.0
3080412,0,25,0,5,8.0
461187,2,28,5,17,30.0
2408579,0,1,5,16,-10.0
2898886,0,5,3,14,23.0
2863167,0,7,1,12,9.0
68647,0,13,6,14,3.0
1897175,0,26,5,13,3.0
533490,0,27,0,14,9.0
1150632,0,5,4,12,8.0
2063720,0,2,3,10,22.0
10985,0,1,1,12,-10.0
1648120,0,3,6,13,19.0
1486210,0,10,0,13,30.0
1169359,0,14,0,17,3.0
73511,0,10,1,18,6.0
405284,0,15,1,11,6.0
1938023,0,16,1,16,7.0
40,0,29,1,15,23.0
2162049,0,1,0,13,-10.0
2289241,0,9,0,15,30.0
3124616,0,4,5,16,3.0
3255409,0,8,2,9,8.0
2068268,0,7,4,19,30.0
1420851,0,3,0,7,8.0
968638,0,3,3,18,14.0
207710,0,4,1,16,30.0
1903282,0,6,5,20,30.0
2936633,0,18,0,8,7.0
345351,0,1,0,11,-10.0
2782817,0,10,5,13,30.0
2791004,0,2,4,13,2.0
3240796,0,8,0,19,14.0
2252375,0,29,5,9,4.0
3061337,0,40,2,13,4.0
1118602,0,1,0,13,-10.0
1905576,0,21,0,18,7.0
1913631,0,7,1,13,7.0
1404772,0,15,1,13,7.0
1371896,0,23,1,12,7.0
1505091,0,9,6,16,3.0
1151023,0,11,4,12,8.0
1083818,0,11,3,18,3.0
3272366,0,7,2,11,14.0
1473219,0,1,1,16,-10.0
471968,0,7,3,9,9.0
2429055,0,13,1,16,30.0
446374,0,7,2,13,30.0
1015834,0,19,0,15,7.0
755273,0,26,4,16,7.0
1839325,0,3,2,3,7.0
381082,0,7,4,12,8.0
1578115,0,3,2,21,9.0
1655785,0,31,0,15,3.0
488785,2,53,0,19,7.0
2994883,0,5,2,12,14.0
341795,0,10,2,20,12.0
2703275,0,8,3,12,2.0
2566028,0,18,0,16,9.0
1080346,0,7,3,15,9.0
602332,0,5,5,9,1.0
1121933,0,15,2,16,4.0
1844269,0,30,0,19,0.0
656066,0,1,5,16,-10.0
4890,0,16,2,8,4.0
2621075,0,17,1,11,13.0
2032409,0,19,3,9,8.0
763308,0,2,1,14,27.0
646320,0,16,0,22,13.0
1547306,0,20,1,10,5.0
3355968,1,8,0,10,8.0
2685402,0,4,3,10,13.0
964509,0,1,6,9,-10.0
2828706,0,2,1,19,16.0
1098067,1,4,0,14,30.0
1954764,0,3,1,14,30.0
3325926,0,5,0,14,7.0
609655,0,20,3,12,4.0
1770616,0,27,2,6,4.0
627026,0,56,1,14,6.0
1794943,0,5,1,17,30.0
2413606,0,3,0,22,0.0
1556981,0,29,0,10,21.0
3374781,0,3,1,17,7.0
1838809,0,8,1,12,17.0
953758,0,13,5,10,4.0
2967876,0,22,0,11,5.0
1465150,0,26,1,15,8.0
307910,0,28,0,18,6.0
417305,2,7,5,15,10.0
2947140,0,3,4,10,14.0
712761,0,14,0,10,7.0
2813365,0,24,1,16,5.0
1789305,0,25,2,15,8.0
452963,0,4,6,12,14.0
909330,0,8,3,20,30.0
2882587,0,1,1,18,-10.0
1753812,0,23,0,16,6.0
1655026,0,10,4,10,20.0
1675581,0,6,3,15,30.0
484703,0,2,0,18,21.0
1628093,0,14,6,16,3.0
2433649,0,3,0,18,30.0
2693183,0,5,6,20,8.0
3212319,0,1,1,19,-10.0
32927,0,2,2,19,7.0
2988878,0,19,0,14,14.0
2673639,0,2,4,11,4.0
1238515,0,6,4,20,4.0
2699815,0,40,3,12,5.0
1860786,0,45,5,15,8.0
528726,0,52,0,9,3.0
452348,0,60,2,12,8.0
407562,0,61,6,14,4.0
2224952,0,80,2,16,1.0
771684,0,1,1,13,-10.0
1260886,0,9,1,12,19.0
113509,0,2,3,14,26.0
1188211,0,21,0,18,8.0
827166,0,32,1,15,8.0
861238,0,4,4,19,18.0
397330,0,5,0,17,30.0
797018,2,6,6,18,30.0
2159082,0,44,4,21,6.0
2464063,0,45,2,10,5.0
1322529,0,46,5,23,3.0
703825,0,72,5,18,6.0
2693832,0,73,6,13,1.0
754934,0,1,5,18,-10.0
1036038,0,1,4,22,-10.0
2913361,0,9,0,19,14.0
1649702,0,14,0,16,15.0
2714546,0,26,0,15,5.0
1633631,0,4,1,14,21.0
164632,0,3,1,19,28.0
2048396,0,5,0,14,7.0
1228441,0,4,1,11,5.0
2189268,0,44,3,9,2.0
3389327,0,45,6,10,3.0
1545001,1,51,5,16,5.0
2279927,0,17,3,9,6.0
2631955,0,19,1,12,3.0
1206693,0,25,0,18,6.0
841553,0,28,6,15,5.0
2760303,0,5,1,11,4.0
134267,0,10,3,11,9.0
3115305,0,2,5,8,30.0
2850649,0,16,4,17,3.0
943785,0,16,0,18,11.0
803944,0,3,1,14,6.0
1661527,0,1,0,16,-10.0
1856173,0,1,5,12,-10.0
1943160,0,4,5,14,30.0
1118364,0,26,3,8,5.0
1142025,0,5,1,16,13.0
2147626,0,17,1,10,14.0
3235100,2,5,6,8,30.0
2829143,0,3,2,11,11.0
322980,0,22,3,13,12.0
2039156,0,5,1,9,5.0
3250526,0,3,5,16,30.0
1134985,0,7,4,13,23.0
2078303,0,1,5,9,-10.0
2150581,0,6,0,20,12.0
1887969,1,4,4,20,30.0
1267108,0,11,1,14,3.0
839335,0,33,0,12,9.0
2027176,0,2,2,12,16.0
2110291,0,2,3,1,18.0
1635509,0,10,3,13,18.0
468107,0,18,3,3,11.0
2150770,2,8,4,9,6.0
3304937,0,3,3,21,7.0
3123888,0,6,0,15,21.0
2713339,2,6,3,13,30.0
883151,0,5,2,0,30.0
1553433,0,57,4,14,4.0
42479,0,5,5,16,9.0
2212006,0,3,5,18,12.0
855519,0,9,4,18,3.0
181172,0,25,1,17,2.0
273008,0,27,4,18,7.0
2487282,0,21,2,12,20.0
371808,0,28,4,21,3.0
3094704,0,7,4,10,28.0
3006524,0,1,1,14,-10.0
2051249,0,3,2,20,30.0
2691666,0,3,1,15,30.0
1844781,0,6,0,12,8.0
3372267,0,24,6,16,3.0
2278775,0,1,4,13,-10.0
1177429,0,4,0,15,0.0
3068926,0,1,2,10,-10.0
2483801,0,2,5,15,2.0
3085611,0,23,5,14,2.0
198590,0,28,3,9,2.0
374175,0,37,3,8,3.0
1433072,0,39,1,16,2.0
1317819,0,52,5,14,1.0
2490810,0,53,0,16,2.0
3401202,0,72,2,13,2.0
2140988,0,74,1,12,4.0
2456920,0,75,2,11,1.0
1497577,0,88,4,17,1.0
1867175,0,3,0,12,30.0
1882574,0,1,2,15,-10.0
1609779,0,6,5,11,10.0
3008597,0,9,1,9,3.0
126688,0,12,4,15,2.0
1153205,0,5,2,20,5.0
2083361,0,20,0,18,7.0
162228,1,10,6,20,30.0
1549838,0,1,3,12,-10.0
2070589,0,12,4,12,5.0
1713656,0,27,3,16,8.0
2882448,0,30,3,16,10.0
3282819,0,8,1,11,6.0
2783415,0,27,2,9,7.0
670286,0,43,3,10,5.0
1245726,0,44,5,10,9.0
2085684,0,46,5,9,4.0
797527,0,49,2,0,4.0
404463,0,19,2,19,1.0
188175,0,4,1,11,15.0
387906,0,2,4,17,3.0
1193858,0,34,4,18,2.0
2058526,0,35,5,14,1.0
1730796,0,88,4,15,5.0
1574727,0,89,1,18,4.0
537048,0,4,1,16,2.0
2875799,0,1,5,13,-10.0
705035,0,18,3,19,3.0
3213908,0,23,6,10,5.0
1936692,0,45,3,10,5.0
1182728,0,61,1,16,4.0
2293600,0,2,5,19,9.0
2575782,0,19,1,15,9.0
1427427,0,3,6,14,6.0
2589161,0,2,5,10,30.0
652683,0,8,4,13,6.0
1580074,0,9,2,21,19.0
2976551,1,22,1,18,1.0
2132462,1,4,4,11,30.0
1253972,0,12,0,12,2.0
3352451,0,26,4,19,4.0
925561,0,29,4,10,5.0
2693492,0,58,5,21,2.0
701757,0,59,0,12,9.0
1758756,0,65,5,13,5.0
3267146,2,6,6,11,30.0
2478166,0,4,1,8,30.0
219986,2,9,0,16,30.0
1339794,0,3,6,9,8.0
212184,0,2,3,16,12.0
1859840,0,6,3,14,20.0
2700378,0,7,5,19,12.0
632715,2,12,0,13,26.0
2151152,0,2,0,8,14.0
569079,0,17,4,11,3.0
1486131,0,10,1,10,5.0
874943,0,45,5,8,4.0
1688642,0,49,3,9,2.0
2305683,0,54,1,8,5.0
2686631,0,15,1,17,5.0
1517188,0,35,4,15,6.0
687725,0,57,4,14,5.0
1110806,0,8,0,9,18.0
1462192,0,4,3,11,2.0
809997,0,12,1,12,7.0
3164079,0,7,1,17,15.0
882031,0,13,2,15,1.0
2676933,0,4,6,11,5.0
2693109,0,8,2,16,7.0
2962585,0,1,5,6,-10.0
1432215,0,11,6,17,2.0
1378392,0,7,2,13,16.0
1482387,0,9,1,16,13.0
2737545,0,3,1,12,19.0
2688928,0,3,5,11,9.0
3218377,0,4,2,8,3.0
1300026,0,28,0,15,7.0
449408,0,65,0,19,4.0
254480,0,67,5,9,2.0
3135551,0,68,6,11,1.0
1284580,0,18,2,15,9.0
249328,0,3,0,14,7.0
985077,0,3,0,13,16.0
1882594,0,7,6,8,13.0
909421,0,4,3,12,0.0
2647854,0,8,3,13,2.0
2345535,0,15,1,11,7.0
611479,0,17,2,14,8.0
1137144,0,20,1,10,7.0
918398,0,30,1,7,6.0
800228,0,1,6,11,-10.0
3269162,0,4,5,12,1.0
2905217,0,27,0,19,16.0
1403606,0,28,3,10,3.0
1190018,0,3,2,12,22.0
1166135,2,4,3,17,30.0
543548,0,7,6,10,12.0
2968282,0,5,5,16,5.0
36640,0,11,6,15,7.0
475206,0,15,6,14,7.0
2495295,0,18,5,19,5.0
1436723,2,30,1,21,8.0
2775859,0,9,3,12,30.0
949421,0,1,0,11,-10.0
782506,0,3,3,14,7.0
3013151,0,7,6,18,13.0
549500,0,2,6,19,15.0
3296794,0,5,1,10,8.0
860833,0,9,1,19,3.0
1891069,0,10,0,12,6.0
241583,0,14,5,16,3.0
3208553,0,17,4,18,4.0
493240,0,2,1,17,8.0
2060996,0,8,0,17,30.0
348001,0,6,4,7,7.0
129210,0,2,4,20,8.0
2886107,0,6,1,13,4.0
957412,0,17,1,15,15.0
2024842,0,2,6,11,15.0
2208324,2,8,6,10,9.0
2135952,0,27,3,9,3.0
1322545,0,61,4,15,4.0
669262,0,62,3,7,6.0
3159241,0,66,0,14,3.0
3301963,0,80,0,7,3.0
1404740,0,85,5,11,1.0
2350408,0,98,0,10,3.0
2801406,0,99,5,8,5.0
4572,0,2,4,9,10.0
586846,0,1,4,10,-10.0
2271650,0,3,0,22,1.0
764355,0,8,2,10,7.0
205848,0,11,2,14,8.0
3183367,1,15,3,11,1.0
533106,0,10,4,10,30.0
2898101,0,4,0,13,7.0
2829081,0,15,5,7,23.0
2624376,0,9,2,16,12.0
3145040,0,8,2,10,8.0
174817,0,20,5,9,4.0
1116086,0,8,0,13,11.0
443539,0,14,6,18,0.0
1401050,0,19,5,15,6.0
1549886,0,3,0,17,8.0
170205,0,7,3,11,2.0
1505906,0,9,0,9,8.0
2717340,0,17,4,12,5.0
1069878,0,35,5,9,7.0
3224018,0,45,6,13,9.0
1517440,0,2,4,10,30.0
766196,0,10,5,11,26.0
2333746,0,7,6,23,2.0
3050007,0,24,2,9,3.0
2825014,0,38,1,21,1.0
1838749,0,58,6,14,8.0
1469941,0,9,6,10,30.0
656497,0,5,2,9,28.0
2943041,2,4,2,14,1.0
3373341,0,3,5,11,21.0
217852,0,3,5,13,30.0
2719571,0,10,1,14,6.0
435713,0,12,0,11,6.0
2098219,0,15,4,7,1.0
2931705,0,18,4,11,7.0
154912,0,1,0,0,-10.0
1319455,0,2,0,14,7.0
2028737,0,4,3,16,7.0
1827662,0,23,2,15,30.0
2718963,0,8,1,19,21.0
2365969,0,4,0,17,14.0
1141521,0,8,0,5,22.0
702632,0,15,0,9,8.0
2342000,0,4,5,16,6.0
889691,1,5,0,13,18.0
2383150,0,13,0,7,16.0
741605,0,3,2,13,8.0
2239849,0,29,4,15,4.0
1742114,0,37,0,16,3.0
2621057,0,11,0,17,4.0
2666968,0,13,5,14,2.0
1490593,0,18,5,7,6.0
2243248,0,29,6,16,8.0
1820581,0,7,3,19,19.0
1181744,0,12,0,10,14.0
1254631,0,33,3,17,8.0
3145099,0,36,2,19,22.0
7504,0,4,2,15,4.0
1598833,0,9,0,13,1.0
2914174,0,14,1,9,5.0
2674011,0,30,3,12,2.0
1365882,0,57,5,16,9.0
382202,0,63,4,14,2.0
822215,0,29,2,18,18.0
240563,0,7,0,15,14.0
2121826,0,21,2,15,9.0
2648197,2,6,4,19,30.0
3116081,0,2,3,9,6.0
718751,0,47,3,12,4.0
243924,0,49,5,14,4.0
2017696,0,57,5,16,0.0
2944207,0,11,0,12,8.0
736872,0,35,0,12,14.0
2785565,0,41,6,9,6.0
2144171,2,9,6,11,6.0
1088647,2,14,0,16,7.0
724075,0,5,3,16,6.0
1643317,0,46,5,17,3.0
682149,0,48,5,17,2.0
718132,2,50,4,11,30.0
543798,0,9,1,12,3.0
1666193,2,4,2,12,30.0
1097486,0,4,3,18,26.0
403803,0,11,4,23,30.0
3050876,0,16,5,15,0.0
1552214,0,3,4,9,12.0
1531800,0,2,6,18,7.0
918958,0,6,5,9,20.0
3102502,0,11,5,19,14.0
328200,0,15,4,19,5.0
846979,2,16,6,18,30.0
1241093,0,7,3,12,3.0
2927525,0,12,6,23,9.0
3195209,0,9,6,11,2.0
1126932,0,16,4,18,6.0
2535919,0,20,6,17,20.0
511114,0,28,5,8,5.0
1613134,0,59,5,15,6.0
1369609,0,64,5,14,4.0
1186376,0,1,6,9,-10.0
246443,0,5,3,10,9.0
3093478,0,10,1,13,24.0
3289990,0,16,5,9,8.0
2144770,0,43,3,10,1.0
723023,0,44,6,9,3.0
1220613,0,3,0,18,14.0
3287649,0,19,2,17,15.0
1136673,0,2,3,7,20.0
2364225,1,6,3,19,2.0
2354441,0,1,1,15,-10.0
1315954,0,9,3,12,0.0
1290456,0,12,3,10,30.0
3336904,0,1,2,12,-10.0
754475,0,24,6,9,5.0
2748534,0,26,1,15,7.0
2338295,0,4,0,17,6.0
2529032,0,6,1,20,7.0
156034,0,9,0,13,20.0
203323,0,31,4,16,6.0
800678,0,2,1,11,30.0
2075629,0,6,0,11,20.0
1308627,0,7,1,15,17.0
2431956,0,2,2,17,30.0
173542,0,13,5,17,30.0
914910,2,4,5,17,7.0
2394104,0,5,0,20,14.0
1818363,0,14,0,17,6.0
2693163,0,19,1,14,6.0
714889,0,12,1,14,8.0
2540957,0,15,0,12,7.0
1797824,0,24,2,19,9.0
2761093,0,3,5,14,30.0
1832849,2,19,2,16,19.0
1839245,0,4,0,20,7.0
1734636,0,6,5,7,30.0
2975869,0,1,0,8,-10.0
1059956,0,3,2,21,13.0
862445,0,5,0,9,7.0
115435,0,11,2,8,7.0
1050711,0,14,2,9,20.0
2001840,0,2,3,17,30.0
1597056,0,7,1,12,7.0
939273,0,5,4,15,23.0
1148846,1,6,3,14,3.0
180090,0,6,5,16,30.0
3225742,0,5,5,13,5.0
1490766,0,15,1,19,18.0
935105,0,19,1,13,5.0
2968962,0,6,0,13,5.0
383770,1,20,5,18,3.0
1327313,0,4,6,11,25.0
1333291,0,11,6,20,8.0
750371,0,19,6,21,3.0
2706950,0,27,2,16,3.0
2585222,0,36,3,8,1.0
698764,0,41,6,12,3.0
2150659,0,20,4,14,0.0
1773243,0,20,0,15,3.0
2689806,0,52,1,19,1.0
1824569,0,77,2,17,2.0
3131337,0,14,4,15,5.0
3102231,1,16,6,8,17.0
1998182,0,3,4,13,30.0
3021235,0,8,1,16,8.0
2052353,0,52,0,22,2.0
884698,0,2,1,5,15.0
2979040,0,4,1,11,9.0
360665,0,21,4,11,10.0
1052549,0,16,0,8,10.0
1970030,0,18,0,20,7.0
1100232,0,14,3,12,24.0
586361,0,3,0,13,28.0
2581647,0,13,2,17,30.0
2951955,0,5,3,12,8.0
1588522,0,7,4,7,2.0
1924318,0,2,0,15,8.0
151401,0,1,1,6,-10.0
2850332,0,35,0,21,0.0
2532654,0,42,0,13,2.0
3344633,0,1,0,7,-10.0
1133229,0,5,2,12,15.0
2825863,0,4,3,11,19.0
2217437,0,13,4,8,4.0
325828,0,34,2,13,21.0
842806,0,5,3,8,30.0
2964835,0,2,5,8,5.0
712419,0,5,0,18,7.0
2215198,0,14,4,17,4.0
868962,0,26,1,14,15.0
272467,0,2,2,13,5.0
587096,0,8,5,11,6.0
568709,0,5,6,18,30.0
18216,0,6,6,16,7.0
2771992,1,6,2,11,24.0
1389870,0,15,3,13,30.0
1697933,0,18,4,11,30.0
2508135,0,4,5,5,3.0
1435966,0,26,2,16,3.0
490824,0,32,0,23,7.0
368401,0,33,4,8,4.0
1501092,0,38,6,12,4.0
2129180,0,41,1,9,6.0
1473993,0,52,4,14,3.0
1015090,0,4,2,16,6.0
1112680,0,7,1,17,7.0
1042033,0,5,6,11,3.0
2138173,0,10,0,15,13.0
1123074,0,4,6,10,14.0
3092010,0,8,0,8,8.0
2533173,0,6,6,10,15.0
1492626,0,1,2,10,-10.0
2735595,0,1,0,14,-10.0
3396301,0,8,2,15,4.0
1504831,2,12,6,9,6.0
2308469,0,5,6,8,30.0
3207563,0,63,3,15,1.0
79671,0,76,6,17,3.0
609987,0,8,3,10,23.0
2676808,0,11,3,0,7.0
2699342,0,21,3,10,15.0
1079880,0,52,3,12,3.0
1630503,0,61,1,13,4.0
2056459,0,71,3,17,2.0
340174,0,77,4,18,10.0
1754131,0,61,6,15,0.0
1882595,0,33,5,15,4.0
1283369,0,4,1,8,14.0
3156290,0,9,1,9,4.0
3216272,0,15,1,9,11.0
1828945,0,3,2,10,19.0
2174027,0,12,1,17,6.0
1478019,0,5,3,17,11.0
848647,0,8,6,18,30.0
